map_file=1.map
agents=100
seed=0
random_problem=0
max_timestep=30000
max_comp_time=10000

80,113,29,34
5,95,86,127
36,103,8,73
32,23,124,51
18,93,123,46
125,44,18,7
62,124,42,26
94,79,69,11
62,34,58,112
11,27,112,26
12,95,22,64
24,3,77,120
124,53,74,107
97,47,63,11
52,38,67,116
50,101,94,58
60,40,92,40
76,28,50,28
81,27,90,32
101,81,67,8
58,89,58,119
66,61,51,99
14,8,124,44
25,100,41,28
99,43,108,20
120,124,120,0
103,44,104,42
7,0,86,34
81,102,48,86
52,95,56,25
19,105,18,102
48,77,64,11
4,119,121,17
84,69,80,62
26,101,27,26
33,20,24,19
4,45,119,110
104,52,49,61
117,32,24,88
110,104,110,4
125,101,14,101
61,17,64,17
87,100,96,100
9,42,93,58
93,77,62,13
53,116,61,31
126,23,63,98
40,24,92,9
114,24,18,89
59,18,54,12
10,95,9,95
102,95,83,64
88,125,6,97
57,31,60,113
78,28,5,1
29,65,29,63
120,44,102,44
102,16,98,20
47,76,66,13
13,94,119,49
95,42,62,74
23,9,99,88
5,94,86,126
26,85,116,30
114,124,113,24
61,95,60,92
58,122,58,31
126,46,75,46
51,20,50,99
94,100,91,98
84,120,94,34
56,12,55,15
75,103,75,47
47,77,16,77
36,17,42,21
40,69,40,45
59,92,61,96
34,19,44,21
53,13,53,10
57,77,95,41
70,13,48,76
99,16,70,76
116,66,122,62
33,54,32,54
29,100,28,97
81,77,81,79
84,66,87,63
48,80,63,12
55,19,55,16
77,75,117,6
116,19,109,125
25,11,7,15
10,3,37,4
50,45,105,41
101,127,9,72
98,50,33,50
77,72,77,20
66,68,64,66
27,127,27,30
70,117,70,19
