map_file=1.map
agents=130
seed=0
random_problem=0
max_timestep=30000
max_comp_time=10000

65,19,89,15
94,64,88,15
21,49,111,27
103,11,94,14
81,11,17,28
88,74,82,15
2,120,97,1
8,38,78,15
14,31,80,14
37,15,87,15
43,44,2,44
90,34,91,27
91,59,83,15
3,75,120,75
92,4,3,113
76,13,14,26
9,91,119,85
109,8,90,14
39,44,114,27
84,86,12,6
69,16,69,116
64,119,62,67
25,10,25,110
91,4,91,41
103,66,87,18
104,4,88,14
89,56,52,87
16,2,82,80
71,24,71,63
76,16,11,26
104,107,108,66
51,20,51,112
3,99,15,111
80,13,16,32
89,47,36,50
124,78,22,33
64,22,90,16
62,19,93,14
24,45,103,42
110,67,9,68
55,14,89,14
56,31,53,110
14,69,122,69
7,30,83,18
18,104,5,99
104,63,7,67
64,10,53,118
4,121,98,0
104,38,33,51
97,38,28,51
95,15,91,14
25,75,25,113
106,103,109,108
66,34,66,69
33,21,34,97
107,4,51,31
34,122,27,57
101,5,4,118
83,26,77,30
29,46,28,46
84,7,18,92
36,39,66,78
103,7,35,4
32,18,25,16
67,18,67,81
6,6,6,108
28,79,26,76
1,115,92,3
56,106,57,27
111,29,18,52
12,30,13,123
2,69,119,69
88,56,93,56
82,11,82,113
68,25,121,25
122,25,69,20
33,48,101,42
27,18,27,12
33,18,82,12
60,13,96,14
92,15,109,11
100,0,1,123
3,118,98,3
6,83,113,83
84,6,77,5
31,2,31,126
49,45,100,45
18,41,79,41
52,18,97,15
122,73,1,71
1,118,101,2
20,69,54,30
84,47,38,46
83,13,5,26
81,88,104,39
59,32,57,35
26,59,109,59
55,56,56,48
27,45,27,113
87,74,79,70
19,7,19,8
14,115,14,114
88,57,87,57
90,60,91,60
57,61,57,62
60,23,59,23
73,33,73,32
103,70,104,70
58,10,59,10
45,65,44,65
33,77,32,77
98,20,98,19
92,58,93,58
22,65,22,66
38,59,39,59
16,33,15,33
7,5,7,4
38,47,38,48
40,71,39,71
68,23,68,22
5,52,5,53
68,77,68,78
51,18,51,17
53,38,53,37
122,75,121,75
27,43,28,43
7,21,7,20
38,16,38,17
52,112,52,111
45,3,46,3
