map_file=2.map
agents=100
seed=0
random_problem=0
max_timestep=30000
max_comp_time=10000

26,100,18,99
21,104,16,99
120,99,1,99
48,37,50,111
2,96,6,99
78,88,78,86
5,95,3,99
54,96,118,99
90,5,102,97
15,98,14,99
96,47,89,111
83,75,84,72
33,87,42,73
67,95,71,19
34,106,36,97
21,41,20,46
85,72,107,61
87,44,112,97
125,57,30,57
61,98,56,96
122,70,51,70
82,89,71,91
95,3,12,9
47,77,31,84
8,96,3,95
85,90,77,90
7,97,4,93
27,109,20,93
92,121,16,98
86,67,89,67
56,31,46,2
63,69,66,65
4,96,6,93
24,38,25,50
65,105,61,95
68,96,66,95
90,28,90,121
2,100,10,99
19,101,16,93
106,80,98,79
86,98,83,92
5,76,25,104
15,103,28,99
40,102,42,102
28,107,25,99
110,61,110,59
15,97,0,99
29,98,30,97
18,103,20,106
45,91,45,120
56,5,56,7
49,109,41,113
67,20,67,78
44,80,40,77
45,99,41,94
48,20,54,95
112,123,30,123
103,15,102,15
22,73,15,13
26,96,28,105
1,101,39,76
123,54,34,54
65,99,68,100
124,55,34,49
124,56,59,50
20,83,21,73
123,43,122,42
18,90,20,104
120,67,46,67
64,100,60,101
63,46,63,97
5,92,9,94
31,107,32,97
26,95,18,94
10,92,90,37
49,71,119,64
60,92,66,97
32,100,41,123
63,101,63,101
65,101,62,87
23,101,27,97
87,64,96,59
113,60,108,58
27,94,26,108
35,76,1,104
127,2,20,99
100,21,17,21
109,69,104,69
3,94,1,91
4,103,12,98
33,96,33,93
52,92,44,111
106,34,98,92
79,91,87,91
20,48,22,43
91,92,92,100
4,74,2,76
88,20,3,20
95,99,92,99
49,97,49,101
