map_file=tmp8bomcdam.map
agents=100
seed=0
random_problem=0
max_timestep=30000
max_comp_time=10000

84,30,78,24
35,27,35,119
37,35,37,100
53,40,108,40
7,34,65,34
34,40,69,57
40,10,1,77
113,60,100,66
80,117,74,65
108,41,13,25
74,55,106,33
5,27,111,40
102,34,108,38
96,31,94,78
32,23,28,29
29,44,31,48
113,81,117,84
0,121,117,5
24,1,25,119
28,83,105,102
95,49,23,50
27,5,53,94
42,7,6,73
5,39,31,39
7,36,100,35
28,108,32,99
88,69,95,66
3,39,29,39
100,4,100,120
76,14,108,14
124,108,98,66
8,32,103,39
20,122,78,67
23,2,18,122
73,100,70,107
107,34,107,84
70,93,107,93
87,100,89,105
74,84,78,3
98,64,122,109
115,2,5,119
7,33,104,41
34,39,98,30
103,68,117,65
110,37,6,32
39,53,39,122
35,31,40,28
77,68,77,122
106,47,105,52
43,6,8,75
108,53,107,50
21,116,115,83
127,50,117,6
102,44,11,33
44,60,51,57
38,36,38,34
24,94,16,99
123,50,20,54
21,112,21,115
99,43,107,42
101,36,4,25
107,45,40,102
105,37,109,32
22,0,25,1
111,30,111,122
37,63,40,66
114,70,102,73
5,28,110,35
16,118,77,63
21,56,121,49
28,82,28,105
39,86,48,87
41,34,9,82
113,62,108,43
12,56,51,14
77,3,73,67
36,103,12,6
65,33,28,100
104,126,61,90
103,49,107,39
2,125,118,3
8,29,107,40
37,78,103,60
38,39,5,98
103,38,106,37
24,53,99,53
79,53,111,36
69,33,120,53
31,35,95,33
24,118,29,5
111,47,110,57
28,48,15,78
104,42,107,36
109,34,107,38
10,30,106,38
0,124,94,4
44,8,6,71
107,33,109,30
8,121,113,4
107,31,107,37
